speciesID,genus,specificEpithet,scientificName
649255633,microtus,pennsylvanicus,microtus pennsylvanicus pennsylvanicus
2071098368,dipodomys,panamintinus,dipodomys panamintinus panamintinus
2096324769,tamias,amoenus,tamias amoenus celeris
868071773,dipodomys,agilis,dipodomys  agilis
1889664626,tamias,amoenus,tamias amoenus monoensis
1704529174,microtus,oregoni,microtus oregoni oregoni
1399029177,microtus,richardsoni,microtus richardsoni
984740380,thomomys,talpoides,thomomys talpoides
842065620,dipodomys,agilis,cipodomys agilis
111554419,dipodomys,merriami,dipodomys merriami merriami
2124934781,thomomys,townsendii,thomomys townsendii nevadensis
1229966818,dipodomys,ordii,dipodomys ordii columbianus
198801617,thomomys,bottae,thomomys bottae awahnee
1549682016,dipodomys,microps,dipodomys microps levipes
1264854016,dipodomys,ordii,dipodomys ordii longipes
63939985,microtus,californicus,microtus californicus mariposae
1015025786,dipodomys,californicus,dipodomys californicus saxatilis
1301523989,tamias,speciosus,tamias speciosus sequoiensis
1928289190,dipodomys,heermanni,dipodomys heermanni dixoni
1850037809,thomomys,bottae,thomomys bottae operarius
2052042592,microtus,pinetorum,microtus pinetorum auricularis
1534272607,dipodomys,agilis,dipodomys agilis perplexus
1860190806,dipodomys,ordii,dipodomys ordii cf.
261021805,dipodomys,heermanni,dipodomys heermanni tularensis
1186464404,microtus,montanus,microtus montanus yosemite
1212280403,tamias,amoenus,tamias amoenus amoenus
